player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
M Vijay,107,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
CH Gayle,58,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
JA Morkel,2,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
DE Bollinger,33,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
MA Agarwal,12,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
R Ashwin,83,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
SB Jakati,58,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
AB de Villiers,21,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
SS Tiwary,47,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
SK Raina,41,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
DL Vettori,8,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
V Kohli,52,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
Z Khan,23,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
MEK Hussey,76,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
S Aravind,50,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
LA Pomersbach,2,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
DJ Bravo,33,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
J Syed Mohammad,25,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
A Mithun,17,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
MS Dhoni,12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
M Vijay,9,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
"Harbhajan Singh, KD Karthik",14,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
JA Morkel,-1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
"AN Ahmed, KD Karthik",14,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
PP Ojha,83,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
DE Bollinger,61,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
SB Jakati,6,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
RA Jadeja,3,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
R Ashwin,3,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
JEC Franklin,50,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
SR Tendulkar,17,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
SK Raina,34,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
F du Plessis,1,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
SL Malinga,116,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
RG Sharma,8,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
S Badrinath,8,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
AT Rayudu,34,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
AN Ahmed,0,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
Harbhajan Singh,16,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
DJ Bravo,45,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
KA Pollard,58,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
RE Levi,56,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
Iqbal Abdulla,9,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
M Morkel,124,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
